Recency,Frequency,Monetary,Member_number,Category,Cluster,Customer_Segment,cluster
3790,8,73.4,1000,Dairy,0,Loyal Dairy Buyers,0
3789,4,75.2,1001,Dairy,0,Loyal Dairy Buyers,0
3825,4,37.45,1002,Dairy,0,Loyal Dairy Buyers,0
3388,13,134.29,1003,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3553,11,86.7,1004,Fresh Food,1,Regular Fresh Food Customers,0
3495,7,33.22,1005,Bakery & Sweets,3,New Bakery & Sweets Customers,0
3685,13,153.9,1006,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3697,11,201.5,1008,Fresh Food,4,Occasional Fresh Food Buyers,0
3458,6,62.46,1009,Fresh Food,3,New Fresh Food Customers,0
3385,11,113.22,1010,Fresh Food,1,Regular Fresh Food Customers,0
3868,6,32.3,1011,Fresh Food,0,Loyal Fresh Food Buyers,0
3633,8,101.95,1012,Fresh Food,4,Occasional Fresh Food Buyers,0
3605,10,76.95,1013,Fresh Food,4,Occasional Fresh Food Buyers,0
3477,4,47.4,1014,Dairy,3,New Dairy Customers,0
3462,15,140.0,1015,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3475,14,146.7,1016,Fresh Food,1,Regular Fresh Food Customers,0
3419,14,139.24,1017,Fresh Food,1,Regular Fresh Food Customers,0
3631,16,113.56,1018,Fresh Food,4,Occasional Fresh Food Buyers,0
3392,9,66.01,1019,Fresh Food,1,Regular Fresh Food Customers,0
3401,15,148.4,1020,Dairy,1,Regular Dairy Customers,0
3509,5,35.25,1021,Dairy,3,New Dairy Customers,0
3388,12,96.8,1022,Dairy,1,Regular Dairy Customers,0
3392,12,73.2,1023,Fresh Food,1,Regular Fresh Food Customers,0
3462,9,95.3,1024,Fresh Food,1,Regular Fresh Food Customers,0
3563,4,23.9,1025,Beverages,3,New Beverages Customers,0
3424,32,279.4,1026,Fresh Food,2,Lost Fresh Food Customers,0
3478,8,32.2,1027,Bakery & Sweets,3,New Bakery & Sweets Customers,0
3393,12,95.12,1028,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3430,17,101.85,1029,Fresh Food,1,Regular Fresh Food Customers,0
3425,5,32.54,1031,Fresh Food,3,New Fresh Food Customers,0
3587,12,65.76,1032,Dairy,4,Occasional Dairy Buyers,0
3857,9,165.35,1033,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3535,5,36.4,1034,Fresh Food,3,New Fresh Food Customers,0
3381,9,112.0,1035,Dairy,1,Regular Dairy Customers,0
3477,8,48.11,1036,Beverages,3,New Beverages Customers,0
3411,13,116.9,1037,Fresh Food,1,Regular Fresh Food Customers,0
3509,8,53.0,1038,Dairy,3,New Dairy Customers,0
3720,14,84.0,1039,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3601,12,137.7,1040,Fresh Food,4,Occasional Fresh Food Buyers,0
3518,9,36.54,1041,Fresh Food,3,New Fresh Food Customers,0
3584,12,81.65,1042,Fresh Food,4,Occasional Fresh Food Buyers,0
3559,10,146.1,1043,Dairy,1,Regular Dairy Customers,0
3389,24,223.85,1044,Fresh Food,2,Lost Fresh Food Customers,0
3455,10,82.66,1045,Fresh Food,1,Regular Fresh Food Customers,0
3410,12,73.2,1046,Dairy,1,Regular Dairy Customers,0
3573,9,83.65,1047,Dairy,4,Occasional Dairy Buyers,0
3388,11,55.2,1048,Dairy,1,Regular Dairy Customers,0
3722,6,18.0,1049,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3404,8,58.0,1050,Dairy,1,Regular Dairy Customers,0
3607,15,170.9,1051,Fresh Food,4,Occasional Fresh Food Buyers,0
3453,6,59.04,1052,Fresh Food,3,New Fresh Food Customers,0
3542,14,168.41,1053,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3631,5,53.6,1054,Fresh Food,0,Loyal Fresh Food Buyers,0
3720,10,103.0,1055,Beverages,4,Occasional Beverages Buyers,0
3415,10,45.9,1056,Fresh Food,1,Regular Fresh Food Customers,0
3431,12,108.0,1057,Fresh Food,1,Regular Fresh Food Customers,0
3515,3,25.3,1058,Fresh Food,3,New Fresh Food Customers,0
3630,8,66.7,1059,Fresh Food,4,Occasional Fresh Food Buyers,0
3643,10,70.0,1061,Beverages,4,Occasional Beverages Buyers,0
3702,5,32.7,1062,Dairy,0,Loyal Dairy Buyers,0
3438,16,161.3,1063,Bakery & Sweets,2,Lost Bakery & Sweets Customers,0
3450,11,69.4,1064,Fresh Food,1,Regular Fresh Food Customers,0
3432,16,95.3,1065,Fresh Food,1,Regular Fresh Food Customers,0
3579,16,159.3,1066,Fresh Food,4,Occasional Fresh Food Buyers,0
3980,6,34.44,1067,Fresh Food,0,Loyal Fresh Food Buyers,0
3470,6,38.2,1068,Dairy,3,New Dairy Customers,0
3717,2,8.6,1069,Fresh Food,0,Loyal Fresh Food Buyers,0
3468,11,111.27,1070,Fresh Food,1,Regular Fresh Food Customers,0
3814,7,35.8,1071,Beverages,0,Loyal Beverages Buyers,0
3456,15,151.14,1072,Fresh Food,1,Regular Fresh Food Customers,0
3388,11,39.6,1073,Fresh Food,1,Regular Fresh Food Customers,0
3612,12,108.5,1074,Household & Hygiene,4,Occasional Household & Hygiene Buyers,0
3672,2,20.55,1075,Fresh Food,0,Loyal Fresh Food Buyers,0
3449,9,110.4,1076,Fresh Food,1,Regular Fresh Food Customers,0
3721,5,72.06,1077,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3414,12,56.4,1078,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3411,18,107.5,1079,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3468,6,53.1,1080,Beverages,3,New Beverages Customers,0
3441,10,51.9,1081,Dairy,1,Regular Dairy Customers,0
3532,8,81.5,1082,Fresh Food,4,Occasional Fresh Food Buyers,0
3686,8,63.51,1083,Dairy,0,Loyal Dairy Buyers,0
3950,4,19.0,1084,Fresh Food,0,Loyal Fresh Food Buyers,0
3492,8,44.6,1085,Fresh Food,3,New Fresh Food Customers,0
3432,6,33.3,1086,Fresh Food,3,New Fresh Food Customers,0
3420,7,61.4,1087,Fresh Food,3,New Fresh Food Customers,0
3501,4,12.1,1088,Fresh Food,3,New Fresh Food Customers,0
3431,13,146.28,1089,Dairy,1,Regular Dairy Customers,0
3543,5,68.2,1090,Dairy,3,New Dairy Customers,0
3462,14,180.0,1092,Fresh Food,2,Lost Fresh Food Customers,0
3800,4,20.6,1093,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3645,10,82.15,1094,Fresh Food,4,Occasional Fresh Food Buyers,0
3950,3,38.6,1095,Fresh Food,0,Loyal Fresh Food Buyers,0
3566,6,60.9,1096,Fresh Food,3,New Fresh Food Customers,0
3990,2,49.0,1097,Dairy,0,Loyal Dairy Buyers,0
3419,12,95.22,1098,Fresh Food,1,Regular Fresh Food Customers,0
3520,11,111.23,1099,Fresh Food,1,Regular Fresh Food Customers,0
3519,15,109.9,1100,Dairy,1,Regular Dairy Customers,0
3503,12,90.0,1101,Dairy,1,Regular Dairy Customers,0
3754,11,76.2,1102,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3525,16,169.96,1103,Fresh Food,4,Occasional Fresh Food Buyers,0
3473,7,69.4,1104,Fresh Food,3,New Fresh Food Customers,0
3717,8,62.8,1105,Fresh Food,0,Loyal Fresh Food Buyers,0
3992,4,93.3,1107,Fresh Food,0,Loyal Fresh Food Buyers,0
3679,18,221.86,1108,Dairy,2,Lost Dairy Customers,0
3636,12,81.6,1109,Fresh Food,4,Occasional Fresh Food Buyers,0
3378,6,22.7,1110,Dairy,3,New Dairy Customers,0
3675,9,31.0,1111,Dairy,0,Loyal Dairy Buyers,0
3566,19,156.0,1112,Specialty & Seasonal,4,Occasional Specialty & Seasonal Buyers,0
3536,7,49.3,1113,Dairy,3,New Dairy Customers,0
3737,10,148.6,1114,Fresh Food,4,Occasional Fresh Food Buyers,0
3396,5,16.8,1115,Fresh Food,3,New Fresh Food Customers,0
3571,6,72.9,1116,Fresh Food,3,New Fresh Food Customers,0
3426,9,53.6,1117,Dairy,1,Regular Dairy Customers,0
3542,10,62.25,1118,Dairy,1,Regular Dairy Customers,0
3599,9,93.0,1119,Dairy,4,Occasional Dairy Buyers,0
3470,11,176.94,1120,Fresh Food,1,Regular Fresh Food Customers,0
3496,11,78.9,1121,Beverages,1,Regular Beverages Customers,0
3759,4,17.09,1122,Fresh Food,0,Loyal Fresh Food Buyers,0
3668,11,97.7,1123,Dairy,4,Occasional Dairy Buyers,0
3792,8,40.4,1124,Beverages,0,Loyal Beverages Buyers,0
3523,9,44.2,1125,Bakery & Sweets,3,New Bakery & Sweets Customers,0
3440,11,120.56,1126,Dairy,1,Regular Dairy Customers,0
3529,11,56.8,1127,Fresh Food,1,Regular Fresh Food Customers,0
3544,8,80.06,1128,Fresh Food,4,Occasional Fresh Food Buyers,0
3463,12,126.96,1129,Dairy,1,Regular Dairy Customers,0
3840,4,19.92,1130,Fresh Food,0,Loyal Fresh Food Buyers,0
3414,25,155.6,1132,Dairy,2,Lost Dairy Customers,0
3493,12,65.3,1133,Dairy,1,Regular Dairy Customers,0
3398,15,117.75,1134,Dairy,1,Regular Dairy Customers,0
3400,9,122.4,1135,Dairy,1,Regular Dairy Customers,0
3413,7,40.95,1136,Fresh Food,3,New Fresh Food Customers,0
3437,11,83.4,1137,Fresh Food,1,Regular Fresh Food Customers,0
3573,10,94.45,1138,Dairy,4,Occasional Dairy Buyers,0
3496,18,187.5,1139,Fresh Food,2,Lost Fresh Food Customers,0
3681,5,59.8,1140,Fresh Food,0,Loyal Fresh Food Buyers,0
3519,4,40.1,1141,Bakery & Sweets,3,New Bakery & Sweets Customers,0
3846,7,30.8,1142,Fresh Food,0,Loyal Fresh Food Buyers,0
3677,13,102.52,1143,Dairy,4,Occasional Dairy Buyers,0
3522,13,108.8,1144,Fresh Food,1,Regular Fresh Food Customers,0
3832,6,43.85,1145,Fresh Food,0,Loyal Fresh Food Buyers,0
3388,11,177.1,1146,Dairy,1,Regular Dairy Customers,0
